,NDVI,GNDVI,OSAVI,LCI,NDRE,SWP,lt
0,0.6512473226000001,0.5796527863000001,0.3114673793,0.2249346077,0.1579020321,6.7,28.0
1,0.7278231382,0.6281238794,0.3393634558,0.2565956116,0.1744747609,8.7,26.0
2,0.7311356068,0.6334265471,0.3488548696,0.2721535265,0.1874572337,6.0,26.7
3,0.7053789496,0.5882989764000001,0.368542254,0.21141387520000002,0.1422614455,5.7,29.3
4,0.7457151413,0.6425346136,0.3931724727,0.27541983130000003,0.187918514,5.2,29.0
5,0.7466724515000001,0.6460613608,0.3818993866,0.2721991837,0.1856689155,4.8,29.2
6,0.6970312595,0.6054767966,0.3239738941,0.2376827896,0.1631529927,5.7,29.7
7,0.7310389876000001,0.6283408403,0.33946809170000003,0.2640041113,0.1808506548,8.0,29.3
8,0.6524927616,0.5730117559,0.3100002706,0.2090329081,0.1461375058,9.3,30.7
9,0.7083910704,0.6122751236,0.36060914400000005,0.24853220580000002,0.1712103486,6.8,31.3
10,0.6744397879,0.5698142052,0.35196650030000004,0.1997765303,0.13563649360000002,4.8,34.3
11,0.7124186158,0.6140357256,0.3676590323,0.24707724150000002,0.1692338586,5.8,33.3
12,0.704539001,0.6084094644,0.3333828151,0.2552320361,0.17687827350000002,6.2,30.0
13,0.7125598192,0.6157625318000001,0.3383934498,0.262786746,0.18161930140000002,7.0,31.3
14,0.6823197603000001,0.5987592936,0.3256919682,0.25235280390000003,0.1775850356,5.7,31.3
15,0.7163401246000001,0.6121962667,0.35981234910000004,0.248484686,0.16991764310000002,5.2,31.0
16,0.7039693594,0.6005052328,0.34321099520000004,0.237852633,0.1633196622,6.5,30.0
17,0.7360836864,0.62631464,0.38182932140000003,0.2619850338,0.178232193,5.3,30.7
18,0.6166361570000001,0.5525690913,0.29426017400000004,0.2040643245,0.1446841657,5.7,36.7
19,0.6989369392,0.6028969884000001,0.32341593500000004,0.24066579340000002,0.16557508710000002,7.0,32.7
20,0.7050429583000001,0.6118323207,0.3291774988,0.2569373846,0.1781251431,8.5,33.0
21,0.6849600673,0.5701406002,0.3529898226,0.1923694313,0.1298273802,5.0,33.0
22,0.7224066854000001,0.6258910298,0.3546400964,0.2553914785,0.175140664,7.5,32.7
23,0.7246879935,0.6274042726,0.3716751635,0.2559742332,0.17536394300000002,5.0,33.3
24,0.6782640815000001,0.583458066,0.3113237023,0.2282184213,0.1582060754,4.3,34.5
25,0.7065330148000001,0.6048516631,0.3363940716,0.2423177958,0.1663527489,5.0,32.3
26,0.6209805012,0.5467939377000001,0.2936509848,0.19351765510000002,0.1365671307,5.7,35.3
27,0.6810813546000001,0.583788991,0.3406819105,0.2201636434,0.1516618729,6.0,35.3
28,0.6555591226,0.5504718423,0.3252362609,0.1785808206,0.1223635748,6.5,35.7
29,0.6963917613,0.5988490582,0.3443418741,0.23560652140000002,0.1619655788,6.0,33.3
30,0.6851283908,0.5914391875,0.3134815693,0.2385512143,0.1656325459,5.7,32.7
31,0.6946831942,0.6034072638,0.3324430585,0.2487716526,0.1722268164,4.3,32.0
32,0.6577126384,0.5779931545,0.3112587035,0.2315234542,0.162716344,4.0,37.0
33,0.7020582557,0.603420794,0.3596916497,0.2393731922,0.1640448272,4.7,34.7
34,0.6907141805,0.5913969874,0.3260454834,0.22997163240000001,0.1584251821,3.0,36.3
35,0.7239929438,0.6177977920000001,0.3662251234,0.2510997951,0.1710381508,4.3,33.7
36,0.6074691415,0.5439617038,0.2884363234,0.2134409249,0.1521285325,6.0,33.0
37,0.6849881411000001,0.5912081003,0.31686079500000003,0.2503786087,0.1753196269,5.3,33.2
38,0.6783844233,0.5865506530000001,0.3195720315,0.2526909411,0.1769921184,8.0,34.7
39,0.6538668871000001,0.5407305956,0.32006967070000003,0.1887235194,0.130367443,4.8,29.0
40,0.7022027969,0.5999734998,0.33255553250000003,0.2519747913,0.1747280508,5.5,29.7
41,0.6887314320000001,0.583884716,0.3353225291,0.2435112596,0.1693133712,5.7,28.7
42,0.6626008749,0.5761717558,0.3101897836,0.2317896634,0.1625880003,5.7,29.3
43,0.6902095079,0.5929343104,0.32379204030000003,0.2526081502,0.17660561200000002,6.2,29.0
44,0.6144218445,0.5424889326,0.2840511203,0.2056896687,0.1471875608,8.0,29.3
45,0.6741061211,0.5804564953,0.3071886301,0.240476653,0.1689722091,6.2,29.7
46,0.6661567092,0.5626885295,0.2953923643,0.21264463660000002,0.1469337493,6.3,30.0
47,0.6792092919,0.5786676407,0.3147777915,0.24356839060000002,0.1709323972,6.0,29.7
48,0.6456708908000001,0.55936867,0.2954524159,0.22773946820000002,0.1615369916,8.2,29.0
49,0.6740418673,0.5874259472000001,0.3124305606,0.2503862083,0.1761243045,7.0,28.7
50,0.6333127022,0.55864048,0.2937526405,0.2322886288,0.1668182313,6.7,32.0
51,0.6615326405,0.5478530526000001,0.31631141900000004,0.2142632902,0.1499655843,6.3,31.7
52,0.6575300097,0.553994,0.3110228181,0.2157655954,0.15103037660000002,8.0,32.0
53,0.6954684258,0.5786641836,0.3306217194,0.23854559660000002,0.1647178978,9.3,31.0
54,0.5959975719,0.5272433758,0.2888908982,0.2094854414,0.1501247883,8.0,32.0
55,0.6742400527,0.5855972171,0.3143815398,0.2527021468,0.178096801,9.7,30.8
56,0.6666157842,0.5784969926,0.3197705746,0.2511733472,0.1774969548,10.7,32.1
57,0.6567163467,0.5530111194,0.3240601718,0.20291894670000002,0.1413727403,6.3,30.4
58,0.6989860535,0.6002091169,0.3380820453,0.2585167587,0.1807358563,7.7,29.4
59,0.6931129694,0.5935550332,0.3432783186,0.25659778710000003,0.1794081628,5.7,29.9
60,0.644533217,0.5614043474,0.3088037074,0.2207704484,0.15605954830000002,7.0,31.1
61,0.6689261198,0.5719287395,0.3251323104,0.2361586094,0.166155085,7.7,29.8
62,0.5871782899,0.5153810978,0.2770763934,0.18577782810000001,0.13385996220000002,8.3,32.2
63,0.6674762964000001,0.5741783381000001,0.3156352043,0.23852053280000002,0.16788703200000002,8.7,31.5
64,0.6629030704000001,0.5625837445,0.3031365871,0.21904656290000002,0.1519543231,8.3,33.6
65,0.683777988,0.5866954327,0.3323958218,0.2535796463,0.1786417663,10.0,33.8
66,0.6330503225,0.5477359295,0.299659133,0.2225439548,0.1592098176,5.0,31.0
67,0.6661590934,0.5821236968,0.3205723464,0.2477679104,0.1746163368,8.0,28.3
68,0.6231441498,0.5520139933,0.3009086251,0.2287091762,0.1648264825,9.3,32.6
69,0.6753367186,0.5642365813,0.33450937270000003,0.23458978530000002,0.163551718,8.3,32.5
70,0.6621268392,0.5682157278000001,0.32086342570000004,0.2337478101,0.1651881933,8.5,31.5
71,0.697049439,0.5920656919,0.33810606600000004,0.2519158125,0.1759270877,7.0,30.6
72,0.6065858603000001,0.5460314751,0.2944227755,0.2237225175,0.1619368643,9.7,34.0
73,0.6703014970000001,0.5894204974,0.31382745500000003,0.2624760866,0.1868397295,8.2,30.9
74,0.6692995429,0.5877461433,0.3240970671,0.25995415450000003,0.1853440255,8.3,31.2
75,0.6635981798,0.5741910934000001,0.3287965655,0.23027636110000002,0.16205987330000002,6.3,30.7
76,0.7048771381000001,0.6163350344,0.339597851,0.27570661900000004,0.19376869500000002,9.3,29.4
77,0.7058980465,0.6121112108,0.352437973,0.2742038965,0.192381084,6.7,29.8
78,0.6373715401000001,0.5622339249,0.3131031394,0.2290321589,0.1635330915,8.2,31.1
79,0.6740834713,0.5890513659000001,0.3322003484,0.2512578964,0.1773250401,7.7,29.9
80,0.5968852043,0.5325952768000001,0.3011178076,0.20530521870000001,0.1491455883,6.8,30.0
81,0.6736851931000001,0.5865647793000001,0.32621029020000003,0.2550241947,0.18043920400000002,7.5,32.2
82,0.6706054211,0.5832990408000001,0.3281927109,0.23807504770000001,0.1676044166,9.3,31.7
83,0.6942228675000001,0.6083606482,0.34192103150000003,0.2733471394,0.1929176599,8.3,28.1
84,0.6418301463,0.5602731109,0.30667054650000003,0.2372969687,0.1701683849,9.0,33.6
85,0.6654313207,0.5863033533,0.322732389,0.2523365319,0.17870011930000002,8.3,31.8
86,0.6253412962,0.5617357492,0.30522212390000003,0.2370313853,0.1712738574,7.0,33.1
87,0.6937834024,0.5952968597,0.34260290860000003,0.25726145510000004,0.1805037707,8.0,31.0
88,0.6664498448,0.580914259,0.3263063431,0.2446428984,0.1735208631,7.7,30.1
89,0.7049173117,0.6081371307,0.33979415890000003,0.2684644759,0.1882414222,8.0,29.5
90,0.5895289779,0.5320845842,0.28190833330000004,0.22488635780000002,0.1642378569,12.7,36.5
91,0.6603883505,0.5820630789,0.3005827665,0.2674849331,0.1932390928,13.0,33.9
92,0.6557450891000001,0.5760053396,0.306401819,0.2628378272,0.18886396290000002,13.0,35.2
93,0.6491973400000001,0.5647480488000001,0.3128919005,0.23378184440000002,0.16629052160000002,8.7,31.4
94,0.6867681742,0.5918962955,0.32296204570000003,0.26428836580000004,0.1869752258,8.7,32.4
95,0.6750448942,0.5813606977,0.3270372152,0.26085501910000003,0.1863369644,10.0,34.4
96,0.6459282637,0.5708709955,0.3079557419,0.2477989197,0.1779818088,10.7,34.0
97,0.6750387549,0.5887912512,0.32083976270000003,0.2660676241,0.1903949678,9.3,34.4
98,0.6149394512,0.5439923406,0.2922763526,0.2297715843,0.16769726570000001,11.7,37.8
99,0.6668015718,0.5810827613,0.3028963208,0.2641747594,0.1893343627,10.3,40.5
100,0.664063096,0.5755667686,0.2959626615,0.2489204854,0.17736287420000002,10.5,37.3
101,0.6742655039000001,0.5896255970000001,0.30940538640000004,0.2714693546,0.1943029463,10.0,36.2
102,0.6395584345,0.5613117814,0.2883444726,0.2483068705,0.1787514687,11.2,33.0
103,0.6648203731,0.5893893838,0.3014043272,0.2673792243,0.1916849464,11.7,34.7
104,0.6298971176,0.5647804141,0.2936473489,0.2570534647,0.1871258616,11.7,33.6
105,0.6805313230000001,0.5844185352,0.3351137936,0.2656237781,0.18884152170000001,9.5,35.5
106,0.6700065136000001,0.5856516361,0.31599456070000004,0.26052987580000003,0.1862654984,10.3,36.2
107,0.6961348653,0.6006724834,0.3314123452,0.2779434919,0.1972261965,9.5,35.3
108,0.5880160332000001,0.5354468822,0.2832143903,0.20429913700000002,0.1477652937,12.0,39.5
109,0.6482793093,0.5760000348000001,0.2924720943,0.24641987680000002,0.1763636768,12.5,36.0
110,0.6442266703,0.5691059232,0.3050056994,0.2408846617,0.17190048100000002,12.3,35.9
111,0.6528198719,0.5773741007000001,0.32082921270000003,0.22585839030000002,0.1597178578,7.7,26.3
112,0.6861659884,0.6045859456,0.3312545717,0.2589715123,0.1826719642,8.0,31.1
113,0.6869667172,0.6024938226000001,0.3356812894,0.2607915699,0.1839760393,7.5,31.5
114,0.6350007057,0.5607175231,0.3104902804,0.22738617660000002,0.1625629067,9.0,31.4
115,0.6619141102,0.5819805861,0.3209658861,0.24352261420000001,0.1731885672,10.5,31.7
116,0.5885990858,0.5291496515,0.2932392359,0.2013546824,0.1464483738,14.3,30.5
117,0.6558932662,0.573530674,0.3016900718,0.2427786291,0.1727267802,11.9,34.0
118,0.6383616924000001,0.5666905046,0.292124331,0.2298334837,0.1645176858,11.0,37.9
119,0.6644325852,0.5828406811,0.3171993494,0.24971042570000002,0.17731876670000002,14.3,34.5
120,0.6292451024,0.5512279272,0.2881500125,0.2238316834,0.16036249700000002,12.3,33.4
121,0.6519643068000001,0.5787981153,0.3066159785,0.24214093390000002,0.1724923253,13.2,32.3
122,0.613730371,0.552400589,0.2946106791,0.22795769570000002,0.1648316681,11.3,36.4
123,0.6757205129,0.5842109919,0.3324274719,0.2466893792,0.1736811996,9.8,33.7
124,0.6672221422,0.5858798027000001,0.3256661892,0.2476128042,0.1749495566,8.5,33.9
125,0.6923503876,0.6022172570000001,0.3338621855,0.2635169625,0.1857230365,8.3,30.0
